id,road,name,lat,lon,model_type,chainage,LRPName,length,condition
0,N1,"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099.",20.8629167,92.298083,sourcesink,462.254,LRPE,462254.0,
1,N1,Infor.missing,20.8629722,92.298083,link,462.124,LRP467,129.99999999999545,
2,N1,Bridge end,20.8646667,92.2981941,link,461.946,LRP466c,177.99999999999727,
3,N1,Bridge start,20.8650278,92.2982497,link,461.904,LRP466b,42.00000000003001,
4,N1,Box culvert,20.8688604,92.2982219,link,461.476,LRP466a,427.99999999999727,
5,N1,Km post missing,20.8692771,92.2981386,link,461.426,LRP466,50.00000000001137,
6,N1,Bridge end,20.8764993,92.2978886,link,460.632,LRP465b,793.9999999999827,
7,N1,Bridge start,20.8768604,92.2978886,link,460.589,LRP465a,43.00000000000637,
8,N1,Teknaf 2 km,20.8782216,92.2977774,link,460.426,LRP465,163.0000000000109,
9,N1,YAKNAT BRIDGE,20.8809852229698,92.2977774,bridge,460.113,LRP456c,35.9,C
10,N1,Box culvert,20.8820271,92.2977774,link,459.995,LRP464b,430.9999999999832,
11,N1,BUS STAND TEKNAF BOX CULVERT,20.8830704487341,92.2981629575949,bridge,459.866,LRP456b,1.5,C
12,N1,BUS STAND TEKNAF BOX CULVERT,20.8845667240506,92.2987158890295,bridge,459.681,LRP456a,1.5,A
13,N1,Box culvert,20.8858608,92.2991941,link,459.521,LRP464a,473.99999999998954,
14,N1,Info.Missing,20.8869441,92.2996386,link,459.388,LRP464,133.0000000000382,
15,N1,Bridge end,20.888833,92.2983886,link,459.13,LRP463b,257.99999999998136,
16,N1,Bridge start,20.8889163,92.2982497,link,459.115,LRP463a,14.999999999986358,
17,N1,TEKNAF NAITANG RCC GIDER BRIDGE,20.8901584525606,92.2957180800539,bridge,458.799,LRP455a,37.3,B
18,N1,Eskahal Bridge,20.8901584525606,92.2957180800539,bridge,458.799,LRP455a,37.3,C
19,N1,Teknaf 4 km,20.891833,92.2923052,link,458.373,LRP463,742.0000000000186,
20,N1,Bridge end,20.8918886,92.2918052,link,458.317,LRP462b,55.999999999983174,
21,N1,Bridge start,20.8919163,92.2916663,link,458.297,LRP462a,19.99999999998181,
22,N1,Naitom Para(4) Bridge,20.892271114035,92.2909840333333,bridge,458.213,LRP454b,9.0,A
23,N1,NAITOM PARA RCC GIDER BRIDGE,20.892271114035,92.2909840333333,bridge,458.213,LRP454b,9.0,B
24,N1,Km post missing,20.8926386,92.2902774,link,458.126,LRP462,171.0000000000491,
25,N1,Box culvert,20.8927774,92.2901386,link,458.105,LRP461k,20.999999999958163,
26,N1,Box culvert,20.8932774,92.2896386,link,458.026,LRP461j,79.00000000000773,
27,N1,Bridge end,20.8939441,92.2889163,link,457.921,LRP461i,105.00000000001819,
28,N1,Bridge start,20.894083,92.2887774,link,457.897,LRP461h,24.00000000000091,
29,N1,Box culvert,20.8948052,92.2881941,link,457.794,LRP461g,103.00000000000864,
30,N1,Naitong Para (3) Bridge,20.8950896142857,92.2879523785714,bridge,457.751,LRP454a,9.0,A
31,N1,Box culvert,20.8953608,92.2877219,link,457.71,LRP461f,84.00000000000318,
32,N1,Box culvert,20.8965552,92.286083,link,457.491,LRP461e,218.9999999999941,
33,N1,Bridge end,20.8967774,92.2857219,link,457.444,LRP461d,46.99999999996862,
34,N1,Bridge start,20.8969163,92.2854441,link,457.411,LRP461c,33.00000000001546,
35,N1,Naitom Para (2) Bridge,20.8970988542857,92.2850607666666,bridge,457.365,LRP453a,15.1,A
36,N1,NAITOM PARA RCC GIDER BRIDGE,20.8970988542857,92.2850607666666,bridge,457.365,LRP453a,15.1,B
37,N1,Box culvert,20.8977497,92.2836941,link,457.201,LRP461b,209.99999999997954,
38,N1,Box culvert,20.8980274,92.283333,link,457.148,LRP461a,52.99999999999727,
39,N1,Km post missing,20.8981108,92.2832493,link,457.126,LRP461,22.000000000048203,
40,N1,Bridge end,20.8982219,92.283166,link,457.111,LRP460h,14.999999999986358,
41,N1,Bridge start,20.8984719,92.2828604,link,457.064,LRP460g,46.99999999996862,
42,N1,Box culvert,20.8994441,92.2817216,link,456.9,LRP460f,164.0000000000441,
43,N1,Bridge end,20.9001111,92.2809716,link,456.787,LRP460e,112.99999999999955,
44,N1,Bridge start,20.9003333,92.2807216,link,456.751,LRP460d,36.000000000001364,
45,N1,Naiton Para(1) Bridge,20.9018849327974,92.2798735897106,bridge,456.549,LRP452j,23.0,A
46,N1,NAITAN PARA RCC GIDER BRIDGE,20.9018849327974,92.2798735897106,bridge,456.549,LRP452j,23.0,B
47,N1,Box culvert,20.9027222,92.279416,link,456.44,LRP460c,310.9999999999786,
48,N1,Baraytoli (3) Bridge,20.9032027737864,92.2790446582524,bridge,456.359,LRP452i,6.1,A
49,N1,BARIY TOLI RCC GIDER BRIDGE,20.9032027737864,92.2790446582524,bridge,456.359,LRP452i,6.1,B
50,N1,Box Culvert,20.9033333,92.2789438,link,456.337,LRP460b,103.00000000000864,
51,N1,Baroytoli Bridge,20.9036912639175,92.2786932329896,bridge,456.287,LRP452h,8.3,A
52,N1,BAROY TOLI RCC GIDER BRIDGE,20.9036912639175,92.2786932329896,bridge,456.287,LRP452h,8.3,C
53,N1,Gilatoli (1) Bridge,20.9045718551546,92.2780768381443,bridge,456.164,LRP452f,17.5,A
54,N1,BAROY TOLI RCC GIDER BRIDGE,20.9045718551546,92.2780768381443,bridge,456.164,LRP452f,17.5,C
55,N1,Box Culvert,20.9047222,92.2779716,link,456.143,LRP460a,194.00000000001683,
56,N1,Km post missing,20.9048333,92.277916,link,456.126,LRP460,16.999999999995907,
57,N1,BARITOLI BOX CULVERT,20.9053051369863,92.2775738958904,bridge,456.064,LRP452e,2.8,A
58,N1,Box culvert,20.9059444,92.2771104,link,455.98,LRP459d,145.99999999995816,
59,N1,BORYTOLI SLAB CULVERT,20.9059771479674,92.2770855585365,bridge,455.975,LRP452d,2.8,A
60,N1,Box Culvert,20.90675,92.2764993,link,455.857,LRP459c,122.99999999999045,
61,N1,BORY TOLI SLAB CULVERT,20.9074479630252,92.2760590529411,bridge,455.765,LRP452c,2.8,A
62,N1,BAROY TOLI RCC GIDER BRIDGE,20.908032127731,92.2756905852941,bridge,455.688,LRP452a,30.0,A
63,N1,Baroy toli (1) Bridge,20.908032127731,92.2756905852941,bridge,455.688,LRP452a,29.3,C
64,N1,Bridge end,20.9085556,92.2753604,link,455.619,LRP459b,237.99999999999955,
65,N1,Bridge start,20.9088889,92.275166,link,455.572,LRP459a,47.000000000025466,
66,N1,Polashir Bridge,20.909456906278,92.2747873291479,bridge,455.496,LRP451i,10.6,A
67,N1,Karumtoli (3) Bridge,20.909823120852,92.2745431860986,bridge,455.447,LRP451h,10.6,A
68,N1,Karumtoli(2) Bridge,20.9104284959641,92.2741396026905,bridge,455.366,LRP451f,29.3,A
69,N1,KARUMTOLI BRIDGE,20.9104284959641,92.2741396026905,bridge,455.366,LRP451f,23.7,C
70,N1,KARUM TOLI BOX CULVERT,20.9116242986547,92.2733424008968,bridge,455.206,LRP451e,1.3,A
71,N1,Teknaf 7 km,20.9122222,92.2729438,link,455.126,LRP459,446.0000000000264,
72,N1,Box Culvert,20.9123889,92.2729716,link,455.1,LRP458f,25.999999999953616,
73,N1,Karumtoli(1) Bridge,20.9126751559322,92.2727211220339,bridge,455.062,LRP451c,33.7,A
74,N1,KARUMTOLI,20.9126751559322,92.2727211220339,bridge,455.062,LRP451c,34.3,B
75,N1,Box culvert,20.9132778,92.2721938,link,454.982,LRP458e,117.999999999995,
76,N1,Box Culvert,20.9136389,92.2718604,link,454.899,LRP458d,83.00000000002683,
77,N1,KARUMTOLI (3)BOX CULVERT,20.9146350810344,92.2712067017241,bridge,454.769,LRP451b,2.8,A
78,N1,KAKUM TOLI CHACK BOX CULVERT,20.9153707224137,92.2707239706896,bridge,454.673,LRP451a,1.2,B
79,N1,Bridge end,20.9154167,92.2706938,link,454.667,LRP458c,232.00000000002774,
80,N1,Bridge start,20.9157222,92.2704993,link,454.629,LRP458b,37.99999999995407,
81,N1,SHOLO BANDOR TAKNAF,20.9167064980392,92.2698571431372,bridge,454.498,LRP450e,6.0,A
82,N1,Sholo Bandar Teknaf Bridge,20.9167064980392,92.2698571431372,bridge,454.498,LRP450e,6.0,C
83,N1,Box Culvert,20.9176382,92.2692493,link,454.374,LRP458a,254.99999999999545,
84,N1,Karumtoli choto(1) Bridge,20.91799614,92.2691008942857,bridge,454.33,LRP450d,6.0,A
85,N1,Teknaf 8 km,20.9187771,92.2687771,link,454.234,LRP458,140.0000000000432,
86,N1,KARUNTON BOX CULVERT,20.9188881999999,92.26870765,bridge,454.219,LRP450c,1.2,A
87,N1,Box Culvert,20.9189993,92.2686382,link,454.204,LRP457e,29.999999999972715,
88,N1,Bridge end,20.9194993,92.2684716,link,454.149,LRP457d,55.00000000000682,
89,N1,Bridge start,20.9195827,92.268416,link,454.132,LRP457c,16.999999999995907,
90,N1,KARUMTOLI,20.9209276456603,92.2674528079245,bridge,453.95,LRP450a,37.6,B
91,N1,Karumtoli Bridge,20.9209276456603,92.2674528079245,bridge,453.95,LRP450a,37.6,C
92,N1,Bridge end,20.9234993,92.2656111,link,453.602,LRP457b,530.0000000000296,
93,N1,Bridge start,20.9238882,92.2653889,link,453.551,LRP457a,50.99999999998772,
94,N1,DONMIA,20.9253890280839,92.2649451585301,bridge,453.372,LRP449f,2.7,D
95,N1,Infor.missing,20.9270827,92.2644444,link,453.17,LRP457,380.9999999999718,
96,N1,DONOMIA,20.9281373875,92.264301196875,bridge,453.05,LRP449d,34.8,C
97,N1,Bridge end,20.9293327,92.2641389,link,452.914,LRP456f,256.00000000002865,
98,N1,Bridge start,20.929666,92.2641111,link,452.877,LRP456e,36.99999999997772,
99,N1,DONDOMIA,20.9303996793814,92.2639787999999,bridge,452.793,LRP449c,2.7,A
100,N1,Domdomia Bridge(2),20.9318757724226,92.263712625,bridge,452.624,LRP449a,13.5,A
101,N1,DOMDO MIA,20.9318757724226,92.263712625,bridge,452.624,LRP449a,13.5,B
102,N1,Domodia Bridge(1),20.9324260319587,92.2636134,bridge,452.561,LRP448c,13.5,A
