id,road,name,lat,lon,model_type,chainage,LRPName,length,condition
"0,N1,""End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099."",20.8629167,92.298083,sourcesink,462.254,LRPE,462254.0,"
1,N1,Infor.missing,20.8629722,92.298083,link,462.124,LRP467,129.99999999999545,
2,N1,Bridge end,20.8646667,92.2981941,link,461.946,LRP466c,177.99999999999727,
3,N1,Bridge start,20.8650278,92.2982497,link,461.904,LRP466b,42.00000000003001,
4,N1,Box culvert,20.8688604,92.2982219,link,461.476,LRP466a,427.99999999999727,
5,N1,Km post missing,20.8692771,92.2981386,link,461.426,LRP466,50.00000000001137,
6,N1,Bridge end,20.8764993,92.2978886,link,460.632,LRP465b,793.9999999999827,
7,N1,Bridge start,20.8768604,92.2978886,link,460.589,LRP465a,43.00000000000637,
8,N1,Teknaf 2 km,20.8782216,92.2977774,link,460.426,LRP465,163.0000000000109,
9,N1,YAKNAT BRIDGE,20.8809852229698,92.2977774,bridge,460.113,LRP456c,35.9,C
10,N1,Box culvert,20.8820271,92.2977774,link,459.995,LRP464b,430.9999999999832,
11,N1,BUS STAND TEKNAF BOX CULVERT,20.8830704487341,92.2981629575949,bridge,459.866,LRP456b,1.5,C
