,road,id,model_type,name,lat,lon,length,condition,length_class
0,N1,LRP004b,sourcesink,.,23.6946638363636,90.4877749181818,6.6,A,S
1,N1,LRP004br,link,road0,23.69986186446555,90.50549453226654,4044.400000000001,-,-
2,N1,LRP008b,bridge,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,397.0,C,XL
3,N1,LRP008br,link,road1,23.7007299897392,90.529156563228,1169.9999999999984,-,-
4,N1,LRP010a,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,B,S
5,N1,LRP010ar,link,road2,23.695395350523498,90.5363365287958,329.00000000000153,-,-
6,N1,LRP010b,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,A,S
7,N1,LRP010br,link,road3,23.694346500525953,90.53764072472475,10.69999999999946,-,-
8,N1,LRP010c,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,A,S
9,N1,LRP010cr,link,road4,23.693331269392452,90.5393128808411,392.69999999999914,-,-
10,N1,LRP011a,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,A,S
11,N1,LRP011ar,link,road5,23.6916360416921,90.54319044273855,503.70000000000044,-,-
12,N1,LRP011c,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,B,M
13,N1,LRP011cr,link,road6,23.68966212876775,90.54701051241955,420.4000000000009,-,-
14,N1,LRP012a,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,A,S
15,N1,LRP012ar,link,road7,23.6883660295918,90.5486041683673,4.699999999999346,-,-
16,N1,LRP012b,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,A,S
17,N1,LRP012br,link,road8,23.686951380095103,90.54992889436701,400.9,-,-
18,N1,LRP013a,bridge,MADANPUR BRIDGE(L),23.685583027027,90.551207981081,26.3,A,M
19,N1,LRP013ar,link,road9,23.681693263513502,90.55351370804046,887.6999999999997,-,-
20,N1,LRP014a,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,A,M
21,N1,LRP014ar,link,road10,23.67055628480745,90.55983821489846,1879.1,-,-
22,N1,LRP016a,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B,S
23,N1,LRP016ar,link,road11,23.65886738736425,90.5702936098985,1663.4500000000005,-,-
24,N1,LRP017b,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C,L
25,N1,LRP017br,link,road12,23.6541989825568,90.5770703225,-71.51999999999904,-,-
26,N1,LRP018a,bridge,Darikandi Bridge (L),23.65397226,90.57741042,20.5,A,M
27,N1,LRP018ar,link,road13,23.6518633296774,90.58097971427415,350.49999999999864,-,-
28,N1,LRP018c,bridge,SONARKALI BRIDGE(L),23.6497543993548,90.5845490085483,24.5,B,M
29,N1,LRP018cr,link,road14,23.647861497135,90.5868804949521,624.5000000000009,-,-
30,N1,LRP019a,bridge,MOLLIK PARA P.C(L),23.6459685949152,90.5892119813559,40.5,B,M
31,N1,LRP019ar,link,road15,23.6419614832268,90.5914396895241,977.5000000000007,-,-
32,N1,LRP020a,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,A,S
33,N1,LRP020ar,link,road16,23.6358797957692,90.59553074134615,630.9999999999969,-,-
34,N1,LRP020b,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,B,M
35,N1,LRP020br,link,road17,23.6311360353846,90.59984782865385,776.6000000000026,-,-
