Road,index,Traffic Data Heavy Truck,Traffic Data Medium Truck,Traffic Data Small Truck,Traffic Data Large Bus,Traffic Data Medium Bus,Traffic Data Micro Bus,Traffic Data Utility,Traffic Data Car,Traffic Data Auto Rickshaw,Traffic Data Motor Cycle,Traffic Data Bi-Cycle,Traffic Data Cycle Rickshaw,Traffic Data Cart,Total Motorized,Total Non Motorized,Total Total AADT,Traffic (AADT),Percentage of traffic
0,N1,275.0095238095238,3684.4857142857145,1056.6285714285714,1461.6857142857143,643.495238095238,1120.895238095238,284.18095238095236,1020.2857142857143,2083.8380952380953,510.65714285714284,173.6952380952381,555.6380952380953,0.13333333333333333,12141.161904761904,729.4666666666667,12870.628571428571,12870.628571428571,9.395673453516945
1,N2,270.9655172413793,1919.1379310344828,843.1379310344828,1223.0344827586207,369.8965517241379,1198.7931034482758,248.68965517241378,882.1034482758621,2742.9310344827586,624.5172413793103,228.20689655172413,663.9310344827586,2.689655172413793,10323.206896551725,894.8275862068965,11218.034482758621,11218.034482758621,8.189265054565546
2,N105,299.14285714285717,3761.4285714285716,1229.4285714285713,76.0,65.57142857142857,1008.7142857142857,140.57142857142858,928.5714285714286,2170.714285714286,573.2857142857143,120.57142857142857,764.2857142857143,0.0,10253.42857142857,884.8571428571429,11138.285714285714,11138.285714285714,8.13104774352023
3,N102,237.1,1092.6,676.4,483.7,134.2,503.8,222.2,295.2,4322.3,636.9,171.1,639.0,0.0,8604.4,810.1,9414.5,9414.5,6.872668823999571
4,N104,67.18181818181819,834.6363636363636,461.27272727272725,418.90909090909093,360.1818181818182,471.0,76.9090909090909,196.63636363636363,4103.0,783.3636363636364,304.1818181818182,1060.0,2.909090909090909,7773.090909090909,1367.090909090909,9140.181818181818,9140.181818181818,6.672414108822125
5,N111,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,4.580805870794764
6,N107,0.0,338.0,475.0,132.0,0.0,265.0,27.0,258.0,2685.0,815.0,306.0,365.0,0.0,4995.0,671.0,5666.0,5666.0,4.136230448433966
7,N108,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0,0.0,4289.0,1244.0,5533.0,5533.0,4.0391392642402275
8,N109,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0,0.0,4289.0,1244.0,5533.0,5533.0,4.0391392642402275
9,N110,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,4.580805870794764
10,N204,0.0,176.0,190.0,31.0,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,2628.0,1.9184633989559587
11,N207,31.0,423.0,312.0,198.0,142.0,323.0,162.0,386.0,2594.0,467.0,141.0,150.0,0.0,5038.0,291.0,5329.0,5329.0,3.8902174478829163
12,N209,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,13.969450381438822
13,N206,1.0,83.0,144.0,0.0,28.0,208.0,26.0,174.0,3356.0,1113.0,391.0,2168.0,0.0,5133.0,2559.0,7692.0,7692.0,5.615228487355112
14,N210,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,13.969450381438822
