,Road,Coordinates
10000,N1,"(90.443333, 23.7060278)"
11302,N1,"(92.298083, 20.8629167)"
11303,N2,"(90.5214438, 23.7059167)"
12253,N2,"(92.0176382, 25.1570556)"
12254,N105,"(90.5466108, 23.6904163)"
12354,N105,"(90.3582222, 23.9895274)"
12355,N102,"(91.1181938, 23.4789716)"
12541,N102,"(91.1146667, 24.0506111)"
12542,N104,"(91.3994163, 23.0096667)"
12624,N104,"(91.1014444, 22.8257493)"
12625,N111,"(91.7491386, 22.3934441)"
12629,N111,"(91.7922219, 22.2984719)"
12630,N107,"(91.891833, 22.3944163)"
12656,N107,"(91.9235827, 22.3159722)"
12657,N108,"(92.0740827, 22.1021389)"
12749,N108,"(92.2176104, 22.1960552)"
12750,N109,"(92.1014722, 21.4433608)"
12756,N109,"(92.0953052, 21.4284716)"
12757,N110,"(92.0232493, 21.4259438)"
12799,N110,"(91.9715827, 21.4359997)"
12800,N204,"(91.3466108, 24.1479163)"
12870,N204,"(91.4771382, 24.2673882)"
12871,N207,"(91.51025, 24.2948608)"
13011,N207,"(91.6775271, 24.6263327)"
13012,N209,"(91.8753604, 24.8775549)"
13022,N209,"(91.868166, 24.8859441)"
13023,N206,"(91.868166, 24.8859441)"
13033,N206,"(91.8783049, 24.8939441)"
13034,N210,"(91.9495552, 24.9162778)"
13040,N210,"(91.8967497, 24.8479997)"
